slug,brand,model,sku,title,price,msrp,capacity,width,depth,height,voltage,amps,circuits,watts,spectrum,emf_label,emf_claim,emf_distance,red_light,wood,max_temp,indoor,source_url,last_checked,source,retailer_slug,source_group,source_priority,pure_infrared,traditional,hybrid,image
biohackers-infrared-sauna-guide,InHouse Wellness,Biohacker's Guide,,Biohacker's Infrared Sauna Guide,5.0,47.0,,,,,,,,,Infrared,Not stated,,,False,,,True,https://inhousewellness.com/products/biohackers-infrared-sauna-guide,2026-09-07,InHouse Wellness,inhouse-wellness,featured,0,True,False,False,//cdn.shopify.com/s/files/1/0672/9757/4979/files/BIOHACKERS-SAUNA-GUIDE.jpg?v=1770882899
mx-j206-01,Maxxus,MX-J206-01,MX-J206-01,"Maxxus Seattle 2-Person Infrared Sauna – Low EMF, Bluetooth Speakers, Red Light Therapy",2299.0,3699.0,2,,,,120,15.0,1,,Infrared,Not stated,,,False,Canadian Hemlock,,True,https://inhousewellness.com/products/maxxus-seattle-2-person-sauna,2026-09-07,InHouse Wellness,inhouse-wellness,featured,0,True,False,False,//cdn.shopify.com/s/files/1/0672/9757/4979/files/maxxus-seattle-2-person-infrared-sauna-low-emf-bluetooth-speakers-red-light-therapy-979677.jpg?v=1770879439
mx-s106-01,Maxxus,MX-S106-01,MX-S106-01,Maxxus MX-S106-01 S-Line 1-Person Low EMF FAR Infrared Sauna w/ Red Light & Bluetooth,2299.0,3999.0,1,39.0,36.0,75.0,120,15.0,1,,Infrared,Not stated,,,False,Canadian Hemlock,,True,https://inhousewellness.com/products/maxxus-mx-s106-01,2026-09-07,InHouse Wellness,inhouse-wellness,featured,0,True,False,False,//cdn.shopify.com/s/files/1/0672/9757/4979/files/Maxxus_MX-S106-01-room.png?v=1785419330
mx-k206-01,Maxxus,MX-K206-01,MX-K206-01,Maxxus Low EMF FAR Infrared Sauna – Canadian Hemlock – 2-Person Capacity,2699.0,4499.0,2,,,,120,15.0,1,,Infrared,Not stated,,,False,Canadian Hemlock,,True,https://inhousewellness.com/products/maxxus-2-person-sauna-hemlock,2026-09-07,InHouse Wellness,inhouse-wellness,featured,0,True,False,False,//cdn.shopify.com/s/files/1/0672/9757/4979/files/maxxus-low-emf-far-infrared-sauna-canadian-hemlock-2-person-capacity-259265.png?v=1770879518
mx-j306-01-zf,Maxxus,Bellevue,MX-J306-01-ZF,"Maxxus ""Bellevue"" 3-Person Near Zero EMF FAR Infrared Sauna – Canadian Hemlock",2899.0,5999.0,3,61.0,42.0,75.0,120,20.0,1,,Infrared,Not stated,,,False,Canadian Hemlock,140,True,https://inhousewellness.com/products/maxxus-bellevue-3-person-near-zero-emf-far-infrared-sauna-canadian-hemlock,2026-09-07,InHouse Wellness,inhouse-wellness,featured,0,True,False,False,//cdn.shopify.com/s/files/1/0672/9757/4979/files/maxxus-bellevue-3-person-near-zero-emf-far-infrared-sauna-canadian-hemlock-354137.webp?v=1770878522
mx-s206-01,Maxxus,MX-S206-01,MX-S206-01,Maxxus S Line MX-S206-01 2 Person Low EMF Far Infrared Sauna,2899.0,5999.0,2,,,,120,15.0,1,,Infrared,Not stated,,,False,Canadian Hemlock,,True,https://inhousewellness.com/products/maxxus-s-line-mx-s206-01,2026-09-07,InHouse Wellness,inhouse-wellness,featured,0,True,False,False,//cdn.shopify.com/s/files/1/0672/9757/4979/files/MX-S206-01.png?v=1776885094
mx-m356-01-fs-ced,Maxxus,MX-M356-01-FS CED,MX-M356-01-FS CED,Maxxus MX-M356-01-FS CED 3-Person Full Spectrum Corner Infrared Sauna – Canadian Red Cedar,5299.0,8499.0,3,60.0,60.0,75.0,120,20.0,1,,Infrared,Not stated,3 mG,2–3 inches from heater/panel,False,Cedar,140,True,https://inhousewellness.com/products/golden-designs-maxxus-mx-m356-01-fs-ced,2026-09-07,InHouse Wellness,inhouse-wellness,featured,0,True,False,False,//cdn.shopify.com/s/files/1/0672/9757/4979/files/MX-M356-01RedCedar3x3_1.webp?v=1770885846
clearlight-premier-2,Clearlight,Premier 2,,Clearlight Premier 2,,,2,50,44,76,120,15,1,1750,FAR Infrared,Low EMF,,,False,Mahogany or Basswood,,True,https://infraredsauna.com/product/premier-two-person/,2026-09-07,Clearlight,clearlight,additional,10,True,False,False,
clearlight-sanctuary-2,Clearlight,Sanctuary 2,,Clearlight Sanctuary 2,,,2,52,48,77,120,20,1,2250,Full Spectrum,Low EMF,,,False,Mahogany or Basswood,,True,https://infraredsauna.com/product/sanctuary-two-person/,2026-09-07,Clearlight,clearlight,additional,10,True,False,False,
health-mate-enrich-2,Health Mate,Enrich 2,,Health Mate Enrich 2,5300,,2,47.25,43.5,77,120,15,1,1780,Full Spectrum,Low EMF,,,True,Mahogany,,True,https://healthmatesauna.com/product/enrich-2/,2026-09-07,Health Mate,health-mate,additional,10,True,False,False,https://healthmatesauna.com/wp-content/uploads/2024/12/enrich-2.jpg
health-mate-enrich-3,Health Mate,Enrich 3,,Health Mate Enrich 3,5900,,3,59,43.5,77,120,20,1,2205,Full Spectrum,Low EMF,,,True,Mahogany,,True,https://healthmatesauna.com/product/enrich-3/,2026-09-07,Health Mate,health-mate,additional,10,True,False,False,https://healthmatesauna.com/wp-content/uploads/2024/12/Health-Mate-Feb-20220559-e-scaled.jpeg
higherdose-full-spectrum-2-person,HigherDOSE,Full Spectrum Infrared Sauna — 2 Person,,HigherDOSE Full Spectrum Infrared Sauna — 2 Person,7999,,2,49.6,41,76.5,120,20,1,2250,Full Spectrum,Low EMF,,,False,Black Mahogany exterior / Basswood interior,176,True,https://higherdose.com/products/full-spectrum-infrared-sauna,2026-09-07,HigherDOSE,higherdose,additional,10,True,False,False,http://higherdose.com/cdn/shop/files/Sauna.jpg?v=1782397391
sunlighten-mpulse-believe,Sunlighten,mPulse Believe,,Sunlighten mPulse Believe,,,2,51.7,47.6,78.6,120,20,1,2400,Full Spectrum,Ultra Low EMF,,,True,Eucalyptus,,True,https://www.sunlighten.com/saunas/mpulse-infrared-saunas/believe/,2026-09-07,Sunlighten,sunlighten,additional,10,True,False,False,https://assets-us-01.kc-usercontent.com:443/9832d3f0-685b-0021-9fc3-0a88ee8dfc7a/96158097-11f3-4095-b841-5493a85a8171/Believe_SearchImages.jpg
